ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,-hotdogturtle--,AdamantRock,Advokaiser,Akkrillic,Arti,azuarc,banshiryuu,barreldragon88,Bluenugget64,cakophon,ChichiriMuyo,Citrus_,Collen,DireKrow,DoctorJimmy133,dowolf,DragonImps,FBike1,FFDragon,FL81,Flamander,GameBopAdv,handsomeboy2012,Haste_2,HBJDubs,Hbthebattle,Janus5k,JONALEON1,KanzarisKelshen,kaonashi1,KCF0107,Kikoman589,loweffortmemes,Mac Arrowny,MadamEglat,malyg,McMoogle,missadelyn,MoonRunes,Mr Lasastryke,MrSmartGuy,Mythiot,NFUN,PabloSmith,PIayer_0,Place,Plasman,Prody Parrot,pyresword,Pyromide,quantumB,Raetsel_Lapin,Raycon,rwlh,Sceptilesolar,sergiocornaga,shane15,Shonen_Bat,slykirby,Snake5555555555,Snowva,SuperNiceDog,tazzyboyishere,Team Rocket Elite,tennisboy213,tgs2,th3l3fty,TheArkOfTurus,Toxtricity,trdl23,trizob,TsunamiXXVIII,UF8,WavedFan,xarlable,Xiahou Shake,xp1337,xx521xx,ZelRaat,Zigzagoon,Zyxyz0
75,Granado Espada - Laguerra del Mundo,Final Fantasy X - Someday the Dream Will End,24,20,44,4,Granado Espada - Laguerra del Mundo,,,,,Granado Espada - Laguerra del Mundo,,Granado Espada - Laguerra del Mundo,Granado Espada - Laguerra del Mundo,Final Fantasy X - Someday the Dream Will End,Granado Espada - Laguerra del Mundo,Final Fantasy X - Someday the Dream Will End,,,Granado Espada - Laguerra del Mundo,Granado Espada - Laguerra del Mundo,Final Fantasy X - Someday the Dream Will End,Granado Espada - Laguerra del Mundo,,,,Granado Espada - Laguerra del Mundo,Final Fantasy X - Someday the Dream Will End,Granado Espada - Laguerra del Mundo,,Final Fantasy X - Someday the Dream Will End,Granado Espada - Laguerra del Mundo,Final Fantasy X - Someday the Dream Will End,Final Fantasy X - Someday the Dream Will End,Granado Espada - Laguerra del Mundo,,Final Fantasy X - Someday the Dream Will End,Final Fantasy X - Someday the Dream Will End,,Granado Espada - Laguerra del Mundo,Granado Espada - Laguerra del Mundo,,,,,,Final Fantasy X - Someday the Dream Will End,,,Granado Espada - Laguerra del Mundo,Final Fantasy X - Someday the Dream Will End,Granado Espada - Laguerra del Mundo,,,Granado Espada - Laguerra del Mundo,Final Fantasy X - Someday the Dream Will End,Granado Espada - Laguerra del Mundo,,Final Fantasy X - Someday the Dream Will End,,Final Fantasy X - Someday the Dream Will End,Final Fantasy X - Someday the Dream Will End,Granado Espada - Laguerra del Mundo,,,,,Final Fantasy X - Someday the Dream Will End,Granado Espada - Laguerra del Mundo,,Final Fantasy X - Someday the Dream Will End,Granado Espada - Laguerra del Mundo,,Granado Espada - Laguerra del Mundo,Granado Espada - Laguerra del Mundo,Final Fantasy X - Someday the Dream Will End,,,Granado Espada - Laguerra del Mundo,Final Fantasy X - Someday the Dream Will End,,Granado Espada - Laguerra del Mundo,,Final Fantasy X - Someday the Dream Will End,Granado Espada - Laguerra del Mundo,,,
76,Super Smash Bros. Ultimate - Megalovania,SOUND VOLTEX IV HEAVENLY HAVEN - Chou chou kou soku de mae sai soku!!! Speed star Kanade,30,16,46,14,Super Smash Bros. Ultimate - Megalovania,,SOUND VOLTEX IV HEAVENLY HAVEN - Chou chou kou soku de mae sai soku!!! Speed star Kanade,,,Super Smash Bros. Ultimate - Megalovania,Super Smash Bros. Ultimate - Megalovania,Super Smash Bros. Ultimate - Megalovania,SOUND VOLTEX IV HEAVENLY HAVEN - Chou chou kou soku de mae sai soku!!! Speed star Kanade,,,,,,Super Smash Bros. Ultimate - Megalovania,Super Smash Bros. Ultimate - Megalovania,,Super Smash Bros. Ultimate - Megalovania,,,,Super Smash Bros. Ultimate - Megalovania,SOUND VOLTEX IV HEAVENLY HAVEN - Chou chou kou soku de mae sai soku!!! Speed star Kanade,SOUND VOLTEX IV HEAVENLY HAVEN - Chou chou kou soku de mae sai soku!!! Speed star Kanade,Super Smash Bros. Ultimate - Megalovania,SOUND VOLTEX IV HEAVENLY HAVEN - Chou chou kou soku de mae sai soku!!! Speed star Kanade,Super Smash Bros. Ultimate - Megalovania,Super Smash Bros. Ultimate - Megalovania,SOUND VOLTEX IV HEAVENLY HAVEN - Chou chou kou soku de mae sai soku!!! Speed star Kanade,SOUND VOLTEX IV HEAVENLY HAVEN - Chou chou kou soku de mae sai soku!!! Speed star Kanade,,Super Smash Bros. Ultimate - Megalovania,Super Smash Bros. Ultimate - Megalovania,,Super Smash Bros. Ultimate - Megalovania,Super Smash Bros. Ultimate - Megalovania,,,,,SOUND VOLTEX IV HEAVENLY HAVEN - Chou chou kou soku de mae sai soku!!! Speed star Kanade,Super Smash Bros. Ultimate - Megalovania,,,Super Smash Bros. Ultimate - Megalovania,SOUND VOLTEX IV HEAVENLY HAVEN - Chou chou kou soku de mae sai soku!!! Speed star Kanade,Super Smash Bros. Ultimate - Megalovania,SOUND VOLTEX IV HEAVENLY HAVEN - Chou chou kou soku de mae sai soku!!! Speed star Kanade,,SOUND VOLTEX IV HEAVENLY HAVEN - Chou chou kou soku de mae sai soku!!! Speed star Kanade,Super Smash Bros. Ultimate - Megalovania,Super Smash Bros. Ultimate - Megalovania,,Super Smash Bros. Ultimate - Megalovania,,Super Smash Bros. Ultimate - Megalovania,Super Smash Bros. Ultimate - Megalovania,SOUND VOLTEX IV HEAVENLY HAVEN - Chou chou kou soku de mae sai soku!!! Speed star Kanade,,,,,Super Smash Bros. Ultimate - Megalovania,Super Smash Bros. Ultimate - Megalovania,Super Smash Bros. Ultimate - Megalovania,,Super Smash Bros. Ultimate - Megalovania,,SOUND VOLTEX IV HEAVENLY HAVEN - Chou chou kou soku de mae sai soku!!! Speed star Kanade,Super Smash Bros. Ultimate - Megalovania,SOUND VOLTEX IV HEAVENLY HAVEN - Chou chou kou soku de mae sai soku!!! Speed star Kanade,,,Super Smash Bros. Ultimate - Megalovania,SOUND VOLTEX IV HEAVENLY HAVEN - Chou chou kou soku de mae sai soku!!! Speed star Kanade,,SOUND VOLTEX IV HEAVENLY HAVEN - Chou chou kou soku de mae sai soku!!! Speed star Kanade,,Super Smash Bros. Ultimate - Megalovania,Super Smash Bros. Ultimate - Megalovania,Super Smash Bros. Ultimate - Megalovania,,
77,Pokemon Diamond/Pearl/Platinum - Lake,Trails in the Sky SC - The Merciless Savior,18,29,47,11,Trails in the Sky SC - The Merciless Savior,,Pokemon Diamond/Pearl/Platinum - Lake,,,Trails in the Sky SC - The Merciless Savior,Trails in the Sky SC - The Merciless Savior,Trails in the Sky SC - The Merciless Savior,Pokemon Diamond/Pearl/Platinum - Lake,,,,,,Trails in the Sky SC - The Merciless Savior,Trails in the Sky SC - The Merciless Savior,Trails in the Sky SC - The Merciless Savior,Trails in the Sky SC - The Merciless Savior,,,,Pokemon Diamond/Pearl/Platinum - Lake,Pokemon Diamond/Pearl/Platinum - Lake,Pokemon Diamond/Pearl/Platinum - Lake,Pokemon Diamond/Pearl/Platinum - Lake,Trails in the Sky SC - The Merciless Savior,Trails in the Sky SC - The Merciless Savior,Pokemon Diamond/Pearl/Platinum - Lake,Trails in the Sky SC - The Merciless Savior,Trails in the Sky SC - The Merciless Savior,,Pokemon Diamond/Pearl/Platinum - Lake,Trails in the Sky SC - The Merciless Savior,,Trails in the Sky SC - The Merciless Savior,Trails in the Sky SC - The Merciless Savior,,,,,Trails in the Sky SC - The Merciless Savior,Trails in the Sky SC - The Merciless Savior,,,Trails in the Sky SC - The Merciless Savior,Pokemon Diamond/Pearl/Platinum - Lake,Trails in the Sky SC - The Merciless Savior,Pokemon Diamond/Pearl/Platinum - Lake,,Trails in the Sky SC - The Merciless Savior,Trails in the Sky SC - The Merciless Savior,Pokemon Diamond/Pearl/Platinum - Lake,,Pokemon Diamond/Pearl/Platinum - Lake,,Pokemon Diamond/Pearl/Platinum - Lake,Trails in the Sky SC - The Merciless Savior,Trails in the Sky SC - The Merciless Savior,,,,,Pokemon Diamond/Pearl/Platinum - Lake,Trails in the Sky SC - The Merciless Savior,Trails in the Sky SC - The Merciless Savior,Trails in the Sky SC - The Merciless Savior,Pokemon Diamond/Pearl/Platinum - Lake,,Trails in the Sky SC - The Merciless Savior,Trails in the Sky SC - The Merciless Savior,Trails in the Sky SC - The Merciless Savior,,,Pokemon Diamond/Pearl/Platinum - Lake,Trails in the Sky SC - The Merciless Savior,,,,Trails in the Sky SC - The Merciless Savior,Pokemon Diamond/Pearl/Platinum - Lake,Pokemon Diamond/Pearl/Platinum - Lake,,
78,Cloudbuilt: Defiance - Monolith,Cytus II - Chocolate Missile,19,25,44,6,Cytus II - Chocolate Missile,,Cytus II - Chocolate Missile,,,Cloudbuilt: Defiance - Monolith,Cytus II - Chocolate Missile,Cloudbuilt: Defiance - Monolith,Cloudbuilt: Defiance - Monolith,,,,,,Cloudbuilt: Defiance - Monolith,Cloudbuilt: Defiance - Monolith,Cytus II - Chocolate Missile,Cloudbuilt: Defiance - Monolith,,,,Cytus II - Chocolate Missile,Cytus II - Chocolate Missile,Cytus II - Chocolate Missile,Cloudbuilt: Defiance - Monolith,Cytus II - Chocolate Missile,Cloudbuilt: Defiance - Monolith,Cloudbuilt: Defiance - Monolith,Cytus II - Chocolate Missile,Cytus II - Chocolate Missile,,Cytus II - Chocolate Missile,Cloudbuilt: Defiance - Monolith,,Cytus II - Chocolate Missile,Cloudbuilt: Defiance - Monolith,,,,,Cloudbuilt: Defiance - Monolith,Cloudbuilt: Defiance - Monolith,,,Cloudbuilt: Defiance - Monolith,Cytus II - Chocolate Missile,Cytus II - Chocolate Missile,Cytus II - Chocolate Missile,,Cytus II - Chocolate Missile,,Cytus II - Chocolate Missile,,Cytus II - Chocolate Missile,,Cloudbuilt: Defiance - Monolith,Cytus II - Chocolate Missile,Cytus II - Chocolate Missile,,,,,,Cloudbuilt: Defiance - Monolith,,Cytus II - Chocolate Missile,Cytus II - Chocolate Missile,,Cloudbuilt: Defiance - Monolith,Cloudbuilt: Defiance - Monolith,Cytus II - Chocolate Missile,,,Cloudbuilt: Defiance - Monolith,Cytus II - Chocolate Missile,,,,Cloudbuilt: Defiance - Monolith,Cytus II - Chocolate Missile,Cytus II - Chocolate Missile,,
79,13 Sentinels: Aegis Rim - -(Isoleucine)-,Super Smash Bros. Brawl - Snowman,40,8,48,32,13 Sentinels: Aegis Rim - -(Isoleucine)-,,13 Sentinels: Aegis Rim - -(Isoleucine)-,,,,Super Smash Bros. Brawl - Snowman,13 Sentinels: Aegis Rim - -(Isoleucine)-,13 Sentinels: Aegis Rim - -(Isoleucine)-,,13 Sentinels: Aegis Rim - -(Isoleucine)-,13 Sentinels: Aegis Rim - -(Isoleucine)-,,,13 Sentinels: Aegis Rim - -(Isoleucine)-,13 Sentinels: Aegis Rim - -(Isoleucine)-,13 Sentinels: Aegis Rim - -(Isoleucine)-,13 Sentinels: Aegis Rim - -(Isoleucine)-,,,,13 Sentinels: Aegis Rim - -(Isoleucine)-,13 Sentinels: Aegis Rim - -(Isoleucine)-,13 Sentinels: Aegis Rim - -(Isoleucine)-,13 Sentinels: Aegis Rim - -(Isoleucine)-,13 Sentinels: Aegis Rim - -(Isoleucine)-,13 Sentinels: Aegis Rim - -(Isoleucine)-,13 Sentinels: Aegis Rim - -(Isoleucine)-,13 Sentinels: Aegis Rim - -(Isoleucine)-,13 Sentinels: Aegis Rim - -(Isoleucine)-,,13 Sentinels: Aegis Rim - -(Isoleucine)-,13 Sentinels: Aegis Rim - -(Isoleucine)-,,13 Sentinels: Aegis Rim - -(Isoleucine)-,13 Sentinels: Aegis Rim - -(Isoleucine)-,,,,,13 Sentinels: Aegis Rim - -(Isoleucine)-,13 Sentinels: Aegis Rim - -(Isoleucine)-,,,13 Sentinels: Aegis Rim - -(Isoleucine)-,13 Sentinels: Aegis Rim - -(Isoleucine)-,Super Smash Bros. Brawl - Snowman,,,13 Sentinels: Aegis Rim - -(Isoleucine)-,13 Sentinels: Aegis Rim - -(Isoleucine)-,13 Sentinels: Aegis Rim - -(Isoleucine)-,,Super Smash Bros. Brawl - Snowman,,13 Sentinels: Aegis Rim - -(Isoleucine)-,13 Sentinels: Aegis Rim - -(Isoleucine)-,13 Sentinels: Aegis Rim - -(Isoleucine)-,,,,,Super Smash Bros. Brawl - Snowman,13 Sentinels: Aegis Rim - -(Isoleucine)-,Super Smash Bros. Brawl - Snowman,13 Sentinels: Aegis Rim - -(Isoleucine)-,Super Smash Bros. Brawl - Snowman,,13 Sentinels: Aegis Rim - -(Isoleucine)-,13 Sentinels: Aegis Rim - -(Isoleucine)-,13 Sentinels: Aegis Rim - -(Isoleucine)-,,,13 Sentinels: Aegis Rim - -(Isoleucine)-,13 Sentinels: Aegis Rim - -(Isoleucine)-,,13 Sentinels: Aegis Rim - -(Isoleucine)-,,Super Smash Bros. Brawl - Snowman,Super Smash Bros. Brawl - Snowman,13 Sentinels: Aegis Rim - -(Isoleucine)-,,
80,The Legend of Heroes: Trails in the Sky the 3rd - Looking Up at the Sky,Evenicle - Toccatina,17,29,46,12,Evenicle - Toccatina,,Evenicle - Toccatina,,,,The Legend of Heroes: Trails in the Sky the 3rd - Looking Up at the Sky,Evenicle - Toccatina,Evenicle - Toccatina,,The Legend of Heroes: Trails in the Sky the 3rd - Looking Up at the Sky,Evenicle - Toccatina,,,Evenicle - Toccatina,The Legend of Heroes: Trails in the Sky the 3rd - Looking Up at the Sky,Evenicle - Toccatina,The Legend of Heroes: Trails in the Sky the 3rd - Looking Up at the Sky,,,,Evenicle - Toccatina,Evenicle - Toccatina,Evenicle - Toccatina,Evenicle - Toccatina,Evenicle - Toccatina,The Legend of Heroes: Trails in the Sky the 3rd - Looking Up at the Sky,Evenicle - Toccatina,Evenicle - Toccatina,Evenicle - Toccatina,,Evenicle - Toccatina,Evenicle - Toccatina,,The Legend of Heroes: Trails in the Sky the 3rd - Looking Up at the Sky,Evenicle - Toccatina,,,,,Evenicle - Toccatina,Evenicle - Toccatina,,,The Legend of Heroes: Trails in the Sky the 3rd - Looking Up at the Sky,The Legend of Heroes: Trails in the Sky the 3rd - Looking Up at the Sky,The Legend of Heroes: Trails in the Sky the 3rd - Looking Up at the Sky,,,Evenicle - Toccatina,The Legend of Heroes: Trails in the Sky the 3rd - Looking Up at the Sky,Evenicle - Toccatina,,Evenicle - Toccatina,,The Legend of Heroes: Trails in the Sky the 3rd - Looking Up at the Sky,The Legend of Heroes: Trails in the Sky the 3rd - Looking Up at the Sky,Evenicle - Toccatina,,,,,,Evenicle - Toccatina,The Legend of Heroes: Trails in the Sky the 3rd - Looking Up at the Sky,The Legend of Heroes: Trails in the Sky the 3rd - Looking Up at the Sky,The Legend of Heroes: Trails in the Sky the 3rd - Looking Up at the Sky,,The Legend of Heroes: Trails in the Sky the 3rd - Looking Up at the Sky,Evenicle - Toccatina,Evenicle - Toccatina,,,,Evenicle - Toccatina,,Evenicle - Toccatina,,The Legend of Heroes: Trails in the Sky the 3rd - Looking Up at the Sky,The Legend of Heroes: Trails in the Sky the 3rd - Looking Up at the Sky,Evenicle - Toccatina,,
81,Ao no Kiseki Evolution - Seize the Truth!,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,23,20,43,3,Ao no Kiseki Evolution - Seize the Truth!,,Ao no Kiseki Evolution - Seize the Truth!,,,,,Ao no Kiseki Evolution - Seize the Truth!,Ao no Kiseki Evolution - Seize the Truth!,Ao no Kiseki Evolution - Seize the Truth!,Ao no Kiseki Evolution - Seize the Truth!,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,,,Ao no Kiseki Evolution - Seize the Truth!,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Ao no Kiseki Evolution - Seize the Truth!,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,,,,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,,Ao no Kiseki Evolution - Seize the Truth!,,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Ao no Kiseki Evolution - Seize the Truth!,Ao no Kiseki Evolution - Seize the Truth!,Ao no Kiseki Evolution - Seize the Truth!,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Ao no Kiseki Evolution - Seize the Truth!,,,,,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Ao no Kiseki Evolution - Seize the Truth!,,,Ao no Kiseki Evolution - Seize the Truth!,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Ao no Kiseki Evolution - Seize the Truth!,,,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Ao no Kiseki Evolution - Seize the Truth!,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Ao no Kiseki Evolution - Seize the Truth!,,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Ao no Kiseki Evolution - Seize the Truth!,,,,,,Ao no Kiseki Evolution - Seize the Truth!,,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Ao no Kiseki Evolution - Seize the Truth!,,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,,,Ao no Kiseki Evolution - Seize the Truth!,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,,,,Umineko no Naku Koro ni Chiru 8 - Ricordando il Passato,Ao no Kiseki Evolution - Seize the Truth!,Ao no Kiseki Evolution - Seize the Truth!,,
82,Chrono Trigger - Undersea Palace,Ridge Racer Type 4 - Move Me,20,27,47,7,Ridge Racer Type 4 - Move Me,,Ridge Racer Type 4 - Move Me,,,,Chrono Trigger - Undersea Palace,Chrono Trigger - Undersea Palace,Ridge Racer Type 4 - Move Me,Ridge Racer Type 4 - Move Me,Ridge Racer Type 4 - Move Me,Chrono Trigger - Undersea Palace,,,Ridge Racer Type 4 - Move Me,Chrono Trigger - Undersea Palace,Ridge Racer Type 4 - Move Me,Chrono Trigger - Undersea Palace,,,,Ridge Racer Type 4 - Move Me,,Chrono Trigger - Undersea Palace,,Chrono Trigger - Undersea Palace,Chrono Trigger - Undersea Palace,Ridge Racer Type 4 - Move Me,Ridge Racer Type 4 - Move Me,Ridge Racer Type 4 - Move Me,,Chrono Trigger - Undersea Palace,Ridge Racer Type 4 - Move Me,,Ridge Racer Type 4 - Move Me,Chrono Trigger - Undersea Palace,,,,Ridge Racer Type 4 - Move Me,Chrono Trigger - Undersea Palace,Chrono Trigger - Undersea Palace,,,Ridge Racer Type 4 - Move Me,Ridge Racer Type 4 - Move Me,Ridge Racer Type 4 - Move Me,Chrono Trigger - Undersea Palace,,,Ridge Racer Type 4 - Move Me,Ridge Racer Type 4 - Move Me,Ridge Racer Type 4 - Move Me,Chrono Trigger - Undersea Palace,,Chrono Trigger - Undersea Palace,Ridge Racer Type 4 - Move Me,Ridge Racer Type 4 - Move Me,,,,,,Ridge Racer Type 4 - Move Me,,Chrono Trigger - Undersea Palace,Chrono Trigger - Undersea Palace,,Chrono Trigger - Undersea Palace,Chrono Trigger - Undersea Palace,Chrono Trigger - Undersea Palace,,,Ridge Racer Type 4 - Move Me,Chrono Trigger - Undersea Palace,,Ridge Racer Type 4 - Move Me,,Ridge Racer Type 4 - Move Me,Ridge Racer Type 4 - Move Me,Ridge Racer Type 4 - Move Me,,
83,Final Fantasy IV - Battle 2,G-Darius - B.T. Dutch,18,29,47,11,G-Darius - B.T. Dutch,,Final Fantasy IV - Battle 2,,,,Final Fantasy IV - Battle 2,Final Fantasy IV - Battle 2,G-Darius - B.T. Dutch,Final Fantasy IV - Battle 2,Final Fantasy IV - Battle 2,G-Darius - B.T. Dutch,,,G-Darius - B.T. Dutch,Final Fantasy IV - Battle 2,G-Darius - B.T. Dutch,G-Darius - B.T. Dutch,,,,G-Darius - B.T. Dutch,,G-Darius - B.T. Dutch,,Final Fantasy IV - Battle 2,Final Fantasy IV - Battle 2,Final Fantasy IV - Battle 2,Final Fantasy IV - Battle 2,G-Darius - B.T. Dutch,,G-Darius - B.T. Dutch,G-Darius - B.T. Dutch,,G-Darius - B.T. Dutch,Final Fantasy IV - Battle 2,,,,G-Darius - B.T. Dutch,G-Darius - B.T. Dutch,G-Darius - B.T. Dutch,,,G-Darius - B.T. Dutch,Final Fantasy IV - Battle 2,G-Darius - B.T. Dutch,G-Darius - B.T. Dutch,,,G-Darius - B.T. Dutch,Final Fantasy IV - Battle 2,G-Darius - B.T. Dutch,G-Darius - B.T. Dutch,,G-Darius - B.T. Dutch,Final Fantasy IV - Battle 2,G-Darius - B.T. Dutch,,,,,,Final Fantasy IV - Battle 2,,Final Fantasy IV - Battle 2,G-Darius - B.T. Dutch,,G-Darius - B.T. Dutch,G-Darius - B.T. Dutch,G-Darius - B.T. Dutch,,,Final Fantasy IV - Battle 2,G-Darius - B.T. Dutch,,G-Darius - B.T. Dutch,,Final Fantasy IV - Battle 2,Final Fantasy IV - Battle 2,G-Darius - B.T. Dutch,,
84,Atelier Ayesha - Invitation Flower ~ Autumn,Persona 3 - Memories of You,26,21,47,5,Atelier Ayesha - Invitation Flower ~ Autumn,,Atelier Ayesha - Invitation Flower ~ Autumn,,,,Atelier Ayesha - Invitation Flower ~ Autumn,Atelier Ayesha - Invitation Flower ~ Autumn,Atelier Ayesha - Invitation Flower ~ Autumn,Persona 3 - Memories of You,Atelier Ayesha - Invitation Flower ~ Autumn,Atelier Ayesha - Invitation Flower ~ Autumn,,,Persona 3 - Memories of You,Persona 3 - Memories of You,Atelier Ayesha - Invitation Flower ~ Autumn,Atelier Ayesha - Invitation Flower ~ Autumn,,,,Atelier Ayesha - Invitation Flower ~ Autumn,,Atelier Ayesha - Invitation Flower ~ Autumn,,Atelier Ayesha - Invitation Flower ~ Autumn,Persona 3 - Memories of You,Persona 3 - Memories of You,Persona 3 - Memories of You,Atelier Ayesha - Invitation Flower ~ Autumn,,Atelier Ayesha - Invitation Flower ~ Autumn,Persona 3 - Memories of You,,Persona 3 - Memories of You,Persona 3 - Memories of You,,,,Atelier Ayesha - Invitation Flower ~ Autumn,Persona 3 - Memories of You,Atelier Ayesha - Invitation Flower ~ Autumn,,,Atelier Ayesha - Invitation Flower ~ Autumn,Persona 3 - Memories of You,Atelier Ayesha - Invitation Flower ~ Autumn,Atelier Ayesha - Invitation Flower ~ Autumn,,,Persona 3 - Memories of You,Persona 3 - Memories of You,Atelier Ayesha - Invitation Flower ~ Autumn,Persona 3 - Memories of You,,Persona 3 - Memories of You,Atelier Ayesha - Invitation Flower ~ Autumn,Atelier Ayesha - Invitation Flower ~ Autumn,,,,,,Atelier Ayesha - Invitation Flower ~ Autumn,,Persona 3 - Memories of You,Persona 3 - Memories of You,,Persona 3 - Memories of You,Atelier Ayesha - Invitation Flower ~ Autumn,Atelier Ayesha - Invitation Flower ~ Autumn,,,Atelier Ayesha - Invitation Flower ~ Autumn,Persona 3 - Memories of You,,Persona 3 - Memories of You,,Persona 3 - Memories of You,Atelier Ayesha - Invitation Flower ~ Autumn,Persona 3 - Memories of You,,
85,Blue Reflection - DNF FW15C (ALL PHASE MIX),Outer Wilds - Outer Wilds,35,10,45,25,Blue Reflection - DNF FW15C (ALL PHASE MIX),,Blue Reflection - DNF FW15C (ALL PHASE MIX),,,,,Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),,Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),,,Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),Outer Wilds - Outer Wilds,Outer Wilds - Outer Wilds,,,,Outer Wilds - Outer Wilds,,Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),Outer Wilds - Outer Wilds,Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),,Blue Reflection - DNF FW15C (ALL PHASE MIX),Outer Wilds - Outer Wilds,,Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),,,,,Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),,,Outer Wilds - Outer Wilds,Outer Wilds - Outer Wilds,Outer Wilds - Outer Wilds,Blue Reflection - DNF FW15C (ALL PHASE MIX),,Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),Outer Wilds - Outer Wilds,,Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),,,,,,Outer Wilds - Outer Wilds,,Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),,Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),,,Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),,,,Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),,
